"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
127,"COL0023116","GRUPO POLIFENOLES",2001,2,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP; CENTRO NACIONAL DE INVESTIGACIONES PARA LA AGROINDUSTRIALIZACION ESPECIES",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
128,"COL0004602","ESTUDIOS CULTURALES",1999,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",9,"POR DEFINIR","9Z","POR DEFINIR",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
129,"COL0018976","PENSAMIENTO CRITICO Y SUBJETIVIDAD",2001,6,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
130,"COL0018134","METIS",2002,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
131,"COL0017879","AMBIENTES DE APRENDIZAJE",2000,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EAN",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
132,"COL0006859","GERENCIA Y POLITICAS DE SALUD",1997,10,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
133,"COL0019641","GRUPO DE INVESTIGACION EN CIENCIAS Y TECNOLOGIA DE ALIMENTOS -GICTA-",1998,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
134,"COL0017718","MUNICIPIO SALUDABLE POR LA PAZ",2000,1,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
135,"COL0019445","SISTEMA DE INVESTIGACION TECNOLOGICA SIT MARCO",2001,10,88,"Bello",5,"Antioquia","POLITECNICO MARCO FIDEL SUAREZ",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
137,"COL0003991","SISTEMAS Y RECURSOS AMBIENTALES SOSTENIBLES SYRAS",2002,12,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD MANUELA BELTRAN",2,"INGENIERIA Y TECNOLOGIA","2G","INGENIERIA AMBIENTAL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
139,"COL0020929","CENTRO DE ESTUDIO E INVESTIGACION LITERARIA DEL CARIBE. CEILIKA",1998,12,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL ATLANTICO; UNIVERSIDAD DE CARTAGENA UNICARTAGENA",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
140,"COL0022665","INSTRUMENTACION Y REHABILITACION BIOMEDICA",2003,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD MANUELA BELTRAN",2,"INGENIERIA Y TECNOLOGIA","2F","INGENIERIA MEDICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
142,"COL0014859","PROCESOS DE AUDICION Y  VOZ",1999,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD MANUELA BELTRAN",3,"CIENCIAS MEDICAS Y DE LA SALUD","3E","OTRAS CIENCIAS MEDICAS",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
143,"COL0013405","MEDICION Y EVALUACION DEL COMPORTAMIENTO",1996,6,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA KONRAD LORENZ",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
144,"COL0021649","ESTUDIOS POLITICOS",1998,2,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD PONTIFICIA BOLIVARIANA SEDE  MEDELLIN",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
145,"COL0015286","PSICOLOGIA DEL CONSUMIDOR",1993,2,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA KONRAD LORENZ",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
146,"COL0021621","LENGUAJE DISCURSO Y SABERES",1997,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
147,"COL0022039","GRUPO DE ESTUDIOS EN EDUCACION INDIGENA Y MULTICULTURAL - GEIM -",1986,4,1,"Popayan",19,"Cauca","UNIVERSIDAD DEL CAUCA UNICAUCA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
148,"COL0024365","MODELACION CON ECUACIONES DIFERENCIALES",2000,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD DE ANTIOQUIA - UDEA",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
149,"COL0022299","CONSTRUYENDO LA ACADEMIA",2002,12,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL ATLANTICO",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
150,"COL0018466","GRUPO DE INVESTIGACION Y DESARROLLO EN GEOMATICA Y MEDIO AMBIENTE",2002,7,1,"Manizales",17,"Caldas","UNIVERSIDAD DE MANIZALES UMANIZALES",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
151,"COL0011311","ANALISIS DEL COMPORTAMIENTO",1994,2,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA KONRAD LORENZ",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
152,"COL0022736","CALORIMETRIA Y TERMODINAMICA DE PROCESOS IRREVERSIBLES",2000,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
153,"COL0015277","PSICOLOGIA CLINICA",1994,7,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA KONRAD LORENZ",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
154,"COL0023312","PRODUCCION Y SANIDAD ANIMAL - CUYES",1989,2,1,"Pasto",52,"Nari¤o","UNIVERSIDAD DE NARINO",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
155,"COL0006302","GRUPO DE INVESTIGACIONES ESTADISTICAS Y EPIDEMIOLOGICAS (GIEE)",2002,7,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA DEL AREA ANDINA - SECCIONAL PEREIRA; UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
156,"COL0010655","GRUPO DE LIMNOLOGIA",1990,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD JORGE TADEO LOZANO",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
157,"COL0003739","ECOSISTEMAS MARINOS TROPICALES",1997,1,1,"Santa Marta",47,"Magdalena","UNIVERSIDAD JORGE TADEO LOZANO",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",3,"CIENCIA TECNOLOGIA E INNOVACION DEL MAR Y DE LOS RECURSOS HIDROBIOLOGICOS"
162,"COL0018644","DIDACTICA PARA LA ENSENANZA DE LA CIENCIA Y TECNOLOGIA EN NINOS",2002,2,238,"Duitama",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
163,"COL0017941","EQUIPO CREPIB",2002,12,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA; CENTRO REGIONAL DE GESTION PARA LA PRODUCTIVIDAD Y LA INNOVACION DE BOYACA CREPIB",5,"CIENCIAS SOCIALES","5I","OTRAS CIENCIAS SOCIALES",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
164,"COL0010575","GRUPO DE INVESTIGACION Y DESARROLLO EN HORTICULTURA SOSTENIBLE",1991,6,175,"Ch¡a",25,"Cundinamarca","UNIVERSIDAD JORGE TADEO LOZANO",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
165,"COL0000031",NA,1997,4,1,"Florencia",18,"Caqueta","UNIVERSIDAD DE LA AMAZONIA",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
166,"COL0022745","GRUPO DE AGUAS; QUIMICA APLICADA Y AMBIENTAL",2000,1,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",5,"CIENCIAS BASICAS"
167,"COL0017988","NUEVAS TECNOLOGIAS; TRABAJO Y GESTION",2002,8,1,"Cali",76,"Valle","UNIVERSIDAD DE SAN BUENAVENTURA",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
168,"COL0004899","FAUNA SILVESTRE",1997,1,1,"Florencia",18,"Caqueta","UNIVERSIDAD DE LA AMAZONIA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
169,"COL0000049",NA,1997,4,1,"Florencia",18,"Caqueta","UNIVERSIDAD DE LA AMAZONIA",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
172,"COL0022899","UNIDAD DE ECOLOGIA EN SISTEMAS ACUATICOS UDESA",2002,2,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
174,"COL0022351","ENTORNO ECONOMICO DE LAS ORGANIZACIONES",2003,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EAN",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
175,"COL0000022","CIEM COLECTIVO DE INVESTIGADORES EN EDUCACION MATEMATICA",1982,12,1,"Florencia",18,"Caqueta","UNIVERSIDAD DE LA AMAZONIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
176,"COL0023395","INVESTIGACIONES EN MUSICA Y ARTES PLASTICAS",2003,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS; ARKEBIOS SAS",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
177,"COL0000167","APRENDER INVESTIGANDO",2001,1,1,"Florencia",18,"Caqueta","UNIVERSIDAD DE LA AMAZONIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
178,"COL0023045","SOCRATES (TECNOLOGIA DE PUNTA EN INGENIERIA Y CIENCIAS DE LA COMPUTACION)",2001,7,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
180,"COL0017772","INNOVACION PEDAGOGICA",2000,1,1,"Monter¡a",23,"Cordoba","CORPORACION UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM UNISINU",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
182,"COL0000247","AVI - AMBIENTES VIRTUALES INTERACTIVOS",1995,8,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
183,"COL0008469","GRUPO DE FISICOQUIMICA ORGANICA",2000,12,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
184,"COL0015319","QUIMICA DE LOS PRODUCTOS NATURALES",2001,5,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
185,"COL0023107","PROPIEDADES OPTICAS DE MATERIALES",2002,6,1,"Manizales",17,"Caldas","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
186,"COL0006797","GEOGRAFIA Y AMBIENTE",2002,12,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
187,"COL0019937","BIODIVERSIDAD UNICORDOBA",2001,2,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
189,"COL0012097","INSTITUTO DE INVESTIGACIONES BIOLOGICAS DEL TROPICO",2000,6,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
190,"COL0017665","GRUPO DE INVESTIGACION PARA LA ANIMACION CULTURAL MUISUATA",2001,2,238,"Duitama",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",5,"CIENCIAS SOCIALES","5I","OTRAS CIENCIAS SOCIALES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
191,"COL0023715","BIOPROCESOS",1998,4,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD DE ANTIOQUIA - UDEA",2,"INGENIERIA Y TECNOLOGIA","2D","INGENIERIA QUIMICA",1,"BIOTECNOLOGIA"
193,"COL0006652","GRUPO REGIONAL DE INVESTIGACION PARTICIPATIVA DE LOS PEQUENOS PRODUCTORES DE LA COSTA ATLANTICA",2000,12,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR; UNIVERSIDAD DE SUCRE; CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
194,"COL0005996","GRUPO DE INVESTIGACION EN CULTIVOS TROPICALES DE CLIMA CALIDO",1999,5,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
195,"COL0018967","CENTRO DE ESTUDIOS ECONOMICOS",1995,6,1,"Bogot ",11,"Distrito Capital","ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO ECI",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
196,"COL0024051","GENETICA; FISIOLOGIA Y METABOLISMO",2002,1,1,"Cali",76,"Valle","UNIVERSIDAD SANTIAGO DE CALI USC",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
197,"COL0024599","SIB- SALUD INTEGRAL BUCAL",2002,5,276,"Floridablanca",68,"Santander","UNIVERSIDAD SANTO TOMAS DE AQUINO SEDE BUCARAMANGA USTABUC",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
199,"COL0017905","INVIUS",2002,2,573,"Puerto Colombia",8,"Atlantico","UNIVERSIDAD LIBRE DE COLOMBIA - BARRANQUILLA; UNIVERSIDAD DEL ATLANTICO; UNIVERSIDAD AUTONOMA DEL CARIBE",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
200,"COL0014959","PRODUCCION ANIMAL TROPICAL",2002,2,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
201,"COL0011554","GRUPO DEL CENTRO DE INVESTIGACION PISCICOLA DE LA U. DE CORDOBA (CINPIC)",2001,11,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
202,"COL0014869","PROCESOS Y AGRO INDUSTRIAS  DE VEGETALES (GIPAVE)",2002,11,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
203,"COL0012186","INVESTIGACIONES EN PROCESOS AGROINDUSTRIALES",2002,1,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
204,"COL0023297","GERENCIA Y ECONOMIA DE LA EDUCACION-GEDUCA",1996,2,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
206,"COL0019169","SALUD PUBLICA Y EPIDEMIOLOGIA",2002,1,1,"Cali",76,"Valle","UNIVERSIDAD SANTIAGO DE CALI USC",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
207,"COL0012767","INVESTIGACION EN MEDIACIONES TECNOLOGICAS; COGNICION Y LENGUAJE PARA LA EDUCACION Y EL DESARROLLO HUMANO CYMTED-L",1998,5,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
209,"COL0020633","INVEDUSA ( INVESTIGACION EDUCATIVA UNIVERSIDAD SERGIO ARBOLEDA)",2001,9,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SERGIO ARBOLEDA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
212,"COL0018902","GRUPO DE INVESTIGACIONES EN MEDICION Y EVALUACION",2003,9,1,"Bogot ",11,"Distrito Capital","CORPORACION UNIVERSITARIA IBEROAMERICANA ANTES TECNOLOGICO INPI",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
215,"COL0021327","GRUPO DE INVESTIGACION EN BIOTECNOLOGIA MICROBIANA",2003,8,1,"Pasto",52,"Nari¤o","UNIVERSIDAD DE NARINO",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
217,"COL0024427","DNEUROPSY",2001,3,1,"Neiva",41,"Huila","UNIVERSIDAD SURCOLOMBIANA USCO",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
218,"COL0019919","CENTRO DE INVESTIGACIONES CARDIODIAGNOSTICO SA/FUNDACION DEL CARIBE PARA LA INVESTIGACION BIOMEDICA",2001,5,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD SIMON BOLIVAR; FUNDACION DEL CARIBE PARA LA INVESTIGACION BIOMEDICA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
219,"COL0003374","DESARROLLO HUMANO",2001,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS; ARKEBIOS SAS",5,"CIENCIAS SOCIALES","5G","GEOGRAFIA SOCIAL Y ECONOMICA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
220,"COL0001173","SISTEMAS HUMANOS",1992,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
221,"COL0017594","GRUPO MODELOS DE DESARROLLO EN AMERICA  LATINA - MODEAL",1999,6,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
222,"COL0019472","PATRIMONIO CONSTRUIDO COLOMBIANO",2001,2,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",6,"HUMANIDADES","6D","ARTE",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
224,"COL0011204","GRUPO DE ESTUDIOS SOBRE DIRECCION ESTRATEGICA Y ORGANIZACIONES",2000,1,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
225,"COL0023232","PROCESOS COGNOSCITIVOS",2002,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
226,"COL0014349","PENSAR (EN) GENERO",1998,8,1,"Bogot ",11,"Distrito Capital","PONTIFICIA UNIVERSIDAD JAVERIANA; PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE CALI",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
227,"COL0024614","GRUPO DE INVESTIGACION EN SISTEMAS NEURODIFUSOS",2001,2,1,"Cartagena",13,"Bolivar","CORPORACION UNIVERSITARIA RAFAEL NUNEZ",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
228,"COL0019991","CARLOS FINLAY",2000,6,1,"Neiva",41,"Huila","UNIVERSIDAD SURCOLOMBIANA USCO",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
230,"COL0023724","GRUPO DE INVESTIGACION DE LABIO Y PALADAR HENDIDO FISIOLOGIA ORAL Y CRECIMIENTO CRANEOFACIAL - CESLPH",1997,2,631,"Sabaneta",5,"Antioquia","UNIVERSIDAD CES",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
